Time,Total energy,Position,Velocity
522,0.9999998,0.7396679,-0.9517259
523,0.9999998,0.7387155,-0.9532043
524,0.9999998,0.7377615,-0.9546808
525,0.9999998,0.7368061,-0.9561554
526,0.9999998,0.7358492,-0.9576280
527,0.9999998,0.7348908,-0.9590988
528,0.9999998,0.7339310,-0.9605676
529,0.9999998,0.7329697,-0.9620345
530,0.9999998,0.7320069,-0.9634995
531,0.9999998,0.7310427,-0.9649625
532,0.9999998,0.7300770,-0.9664236
533,0.9999998,0.7291099,-0.9678828
534,0.9999998,0.7281413,-0.9693401
535,0.9999998,0.7271712,-0.9707954
536,0.9999998,0.7261997,-0.9722487
537,0.9999998,0.7252267,-0.9737002
538,0.9999998,0.7242523,-0.9751497
539,0.9999998,0.7232764,-0.9765972
540,0.9999998,0.7222991,-0.9780428
541,0.9999998,0.7213203,-0.9794864
542,0.9999998,0.7203401,-0.9809280
543,0.9999998,0.7193584,-0.9823677
544,0.9999998,0.7183754,-0.9838055
545,0.9999998,0.7173908,-0.9852412
546,0.9999998,0.7164049,-0.9866750
547,0.9999998,0.7154175,-0.9881069
548,0.9999998,0.7144287,-0.9895367
549,0.9999998,0.7134384,-0.9909646
550,0.9999998,0.7124467,-0.9923905
551,0.9999998,0.7114536,-0.9938144
552,0.9999998,0.7104591,-0.9952363
553,0.9999998,0.7094632,-0.9966562
554,0.9999998,0.7084658,-0.9980741
555,0.9999998,0.7074670,-0.9994900
556,0.9999997,0.7064668,-1.000904
557,0.9999997,0.7054652,-1.002316
558,0.9999997,0.7044622,-1.003726
559,0.9999997,0.7034578,-1.005134
560,0.9999997,0.7024519,-1.006540
561,0.9999997,0.7014447,-1.007944
562,0.9999997,0.7004360,-1.009345
563,0.9999997,0.6994260,-1.010745
564,0.9999997,0.6984145,-1.012143
565,0.9999997,0.6974017,-1.013539
566,0.9999997,0.6963875,-1.014933
567,0.9999997,0.6953718,-1.016325
568,0.9999997,0.6943548,-1.017714
569,0.9999997,0.6933364,-1.019102
570,0.9999997,0.6923166,-1.020488
571,0.9999997,0.6912954,-1.021871
572,0.9999997,0.6902729,-1.023253
573,0.9999997,0.6892489,-1.024632
574,0.9999997,0.6882236,-1.026010
575,0.9999997,0.6871969,-1.027385
576,0.9999997,0.6861688,-1.028759
577,0.9999997,0.6851394,-1.030130
578,0.9999997,0.6841086,-1.031499
579,0.9999997,0.6830764,-1.032866
580,0.9999997,0.6820428,-1.034231
581,0.9999997,0.6810079,-1.035594
582,0.9999997,0.6799716,-1.036955
583,0.9999997,0.6789340,-1.038314
584,0.9999997,0.6778950,-1.039671
585,0.9999997,0.6768547,-1.041026
586,0.9999997,0.6758130,-1.042379
587,0.9999997,0.6747699,-1.043729
588,0.9999997,0.6737255,-1.045078
589,0.9999997,0.6726798,-1.046424
590,0.9999997,0.6716327,-1.047768
591,0.9999997,0.6705842,-1.049111
592,0.9999997,0.6695344,-1.050451
593,0.9999997,0.6684833,-1.051789
594,0.9999997,0.6674309,-1.053125
595,0.9999997,0.6663771,-1.054458
596,0.9999997,0.6653219,-1.055790
597,0.9999997,0.6642655,-1.057120
598,0.9999997,0.6632077,-1.058447
599,0.9999997,0.6621486,-1.059773
600,0.9999997,0.6610882,-1.061096
601,0.9999997,0.6600264,-1.062417
602,0.9999997,0.6589633,-1.063736
603,0.9999997,0.6578989,-1.065053
604,0.9999997,0.6568332,-1.066368
605,0.9999997,0.6557662,-1.067680
606,0.9999997,0.6546979,-1.068991
607,0.9999997,0.6536282,-1.070299
608,0.9999997,0.6525573,-1.071605
609,0.9999997,0.6514850,-1.072909
610,0.9999997,0.6504114,-1.074211
611,0.9999997,0.6493366,-1.075511
612,0.9999997,0.6482604,-1.076808
613,0.9999997,0.6471830,-1.078104
614,0.9999997,0.6461042,-1.079397
615,0.9999997,0.6450242,-1.080688
616,0.9999997,0.6439428,-1.081977
617,0.9999997,0.6428602,-1.083264
618,0.9999997,0.6417763,-1.084549
619,0.9999997,0.6406911,-1.085831
620,0.9999997,0.6396046,-1.087111
621,0.9999997,0.6385169,-1.088390
622,0.9999997,0.6374279,-1.089665
623,0.9999997,0.6363376,-1.090939
624,0.9999997,0.6352460,-1.092211
625,0.9999997,0.6341531,-1.093480
626,0.9999997,0.6330590,-1.094747
627,0.9999997,0.6319636,-1.096012
628,0.9999997,0.6308670,-1.097275
629,0.9999997,0.6297691,-1.098536
630,0.9999997,0.6286699,-1.099794
631,0.9999997,0.6275695,-1.101051
632,0.9999997,0.6264678,-1.102305
633,0.9999997,0.6253649,-1.103556
634,0.9999997,0.6242607,-1.104806
635,0.9999997,0.6231553,-1.106054
636,0.9999997,0.6220486,-1.107299
637,0.9999997,0.6209407,-1.108542
638,0.9999997,0.6198315,-1.109782
639,0.9999997,0.6187211,-1.111021
640,0.9999997,0.6176095,-1.112257
641,0.9999997,0.6164966,-1.113491
642,0.9999997,0.6153825,-1.114723
643,0.9999997,0.6142672,-1.115953
