Size of array,Array Time
194,0.7800000E-4
195,0.7900000E-4
196,0.8000000E-4
197,0.8100000E-4
198,0.8200000E-4
199,0.8300000E-4
200,0.8400000E-4
201,0.8500000E-4
202,0.8600000E-4
203,0.8700000E-4
204,0.8800000E-4
205,0.8900000E-4
206,0.9000000E-4
207,0.9100000E-4
208,0.9200000E-4
209,0.9300000E-4
210,0.9400000E-4
211,0.9500000E-4
212,0.9700000E-4
213,0.9800000E-4
214,0.9900000E-4
215,0.1010000E-3
216,0.1030000E-3
217,0.1040000E-3
218,0.1050000E-3
219,0.1060000E-3
220,0.1080000E-3
221,0.1090000E-3
222,0.1110000E-3
223,0.1120000E-3
224,0.1140000E-3
225,0.1150000E-3
226,0.1160000E-3
227,0.1180000E-3
228,0.1190000E-3
229,0.1210000E-3
230,0.1220000E-3
231,0.1230000E-3
232,0.1250000E-3
233,0.1260000E-3
234,0.1270000E-3
235,0.1280000E-3
236,0.1290000E-3
237,0.1310000E-3
238,0.1320000E-3
239,0.1330000E-3
240,0.1340000E-3
241,0.1350000E-3
242,0.1360000E-3
243,0.1370000E-3
244,0.1380000E-3
245,0.1390000E-3
246,0.1400000E-3
247,0.1410000E-3
248,0.1420000E-3
249,0.1420000E-3
250,0.1430000E-3
251,0.1440000E-3
252,0.1450000E-3
253,0.1460000E-3
254,0.1470000E-3
255,0.1480000E-3
256,0.1490000E-3
257,0.1500000E-3
258,0.1510000E-3
259,0.1520000E-3
260,0.1530000E-3
261,0.1540000E-3
262,0.1560000E-3
263,0.1570000E-3
264,0.1580000E-3
265,0.1590000E-3
266,0.1740000E-3
267,0.1750000E-3
268,0.1770000E-3
269,0.1780000E-3
270,0.1790000E-3
271,0.1800000E-3
272,0.1810000E-3
273,0.1820000E-3
274,0.1840000E-3
275,0.1850000E-3
276,0.1860000E-3
277,0.1870000E-3
278,0.1880000E-3
279,0.1890000E-3
280,0.1910000E-3
281,0.1930000E-3
282,0.1940000E-3
283,0.1950000E-3
284,0.1960000E-3
285,0.1980000E-3
286,0.2000000E-3
287,0.2010000E-3
288,0.2030000E-3
289,0.2050000E-3
290,0.2060000E-3
291,0.2070000E-3
292,0.2080000E-3
293,0.2090000E-3
294,0.2120000E-3
295,0.2130000E-3
296,0.2150000E-3
297,0.2170000E-3
298,0.2180000E-3
299,0.2200000E-3
300,0.2220000E-3
301,0.2240000E-3
302,0.2260000E-3
303,0.2280000E-3
304,0.2290000E-3
305,0.2300000E-3
306,0.2320000E-3
307,0.2330000E-3
308,0.2350000E-3
309,0.2370000E-3
310,0.2380000E-3
311,0.2430000E-3
312,0.2440000E-3
313,0.2460000E-3
314,0.2470000E-3
315,0.2480000E-3
316,0.2490000E-3
317,0.2500000E-3
318,0.2510000E-3
319,0.2520000E-3
320,0.2530000E-3
321,0.2540000E-3
322,0.2550000E-3
323,0.2570000E-3
324,0.2580000E-3
325,0.2590000E-3
326,0.2610000E-3
327,0.2620000E-3
328,0.2630000E-3
329,0.2640000E-3
330,0.2650000E-3
331,0.2660000E-3
332,0.2680000E-3
333,0.2700000E-3
334,0.2710000E-3
335,0.2720000E-3
336,0.2740000E-3
337,0.2750000E-3
338,0.2760000E-3
339,0.2780000E-3
340,0.2790000E-3
341,0.2800000E-3
342,0.2830000E-3
343,0.2840000E-3
344,0.2850000E-3
345,0.2860000E-3
346,0.2870000E-3
347,0.2880000E-3
