Size of array,Matrix Time
965,0.4860000E-3
966,0.4870000E-3
967,0.4880000E-3
968,0.4890000E-3
969,0.4900000E-3
970,0.4910000E-3
971,0.4920000E-3
972,0.4920000E-3
973,0.4920000E-3
974,0.4920000E-3
975,0.4920000E-3
976,0.4920000E-3
977,0.4930000E-3
978,0.4940000E-3
979,0.4950000E-3
980,0.4960000E-3
981,0.4970000E-3
982,0.4970000E-3
983,0.4980000E-3
984,0.4990000E-3
985,0.5000000E-3
986,0.5010000E-3
987,0.5020000E-3
988,0.5020000E-3
989,0.5030000E-3
990,0.5030000E-3
991,0.5040000E-3
992,0.5040000E-3
993,0.5040000E-3
994,0.5040000E-3
995,0.5040000E-3
996,0.5050000E-3
997,0.5060000E-3
998,0.5070000E-3
999,0.5080000E-3
1000,0.5080000E-3
1001,0.5080000E-3
1002,0.5080000E-3
1003,0.5080000E-3
1004,0.5080000E-3
1005,0.5080000E-3
1006,0.5090000E-3
1007,0.5100000E-3
1008,0.5110000E-3
1009,0.5120000E-3
1010,0.5120000E-3
 ---
101,0.8600000E-4
102,0.8700000E-4
103,0.8800000E-4
104,0.8800000E-4
105,0.8800000E-4
106,0.8900000E-4
107,0.8900000E-4
108,0.8900000E-4
109,0.9000000E-4
110,0.9000000E-4
111,0.9100000E-4
112,0.9200000E-4
113,0.9200000E-4
114,0.9300000E-4
115,0.9300000E-4
116,0.9300000E-4
117,0.9400000E-4
118,0.9400000E-4
119,0.9500000E-4
120,0.9500000E-4
121,0.9500000E-4
122,0.9600000E-4
123,0.9600000E-4
124,0.9600000E-4
125,0.9700000E-4
126,0.9700000E-4
127,0.9800000E-4
128,0.9800000E-4
129,0.9800000E-4
130,0.9900000E-4
131,0.9900000E-4
132,0.1040000E-3
133,0.1050000E-3
134,0.1050000E-3
135,0.1050000E-3
136,0.1060000E-3
137,0.1060000E-3
138,0.1060000E-3
139,0.1070000E-3
140,0.1070000E-3
141,0.1080000E-3
142,0.1080000E-3
143,0.1080000E-3
144,0.1090000E-3
145,0.1090000E-3
146,0.1090000E-3
147,0.1100000E-3
148,0.1100000E-3
149,0.1110000E-3
150,0.1110000E-3
151,0.1110000E-3
152,0.1120000E-3
153,0.1120000E-3
154,0.1120000E-3
155,0.1130000E-3
156,0.1130000E-3
157,0.1130000E-3
158,0.1140000E-3
159,0.1140000E-3
